,JobId,JobTitle,Company,CompanyAddress,CountryCode,JobType,JobIndustry,JobLevel,SalaryFrom,SalaryTo,Roles,Requirements,JobSite,JobTags,URL
0,1284,Data Scientist - Business Analytics,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,"INFINEON, 8 KALLANG SECTOR 349282",SG,Permanent,Information Technology,"Professional, Executive, Senior Executive","$6,000","to$10,000","Roles & Responsibilities
In your new role you will:
Drive prove of concepts, build prototypes and solutions and services in Business Analytics encompassing:
Predictive & Prescriptive modelling;
Anomaly Detection; 
Natural Language Processing;
Reinforcement Learning;
Machine learning & Deep Neural Networks;
Responsible for analysis requests from start to finish, including requirements gathering, conceptualization, analyzing and solving.
Perform Problem/Opportunity definition and analysis.
Collect, analyze and interpret qualitative & quantitative data with statistical theories and methods.
Apply standard process CRISP-DM (business understanding, data understanding, data preparation, modeling, evaluation, deployment), Machine Learning frameworks such as H2O, Tensor Flow, PyTorch etc. & Agile Methodologies for Business Analytics projects.
Build performance metrics & dashboard/storyboard to present information and insights gathered as part of analysis.
Create and review technical design documentations, researches, including proposals, white papers, presentations, formal recommendations and reports.Contribute to the company by creating patents and other intellectual property.
Provide guidance to junior data scientists.","Requirements
You are best equipped for this task if you have:
PhD or Masters Degree in Computer Science/Mathematics/Statistics with at least 5 years of relevant experience.
Solid understanding and hand-on experience in computer vision, image recognition, deep learning, and associated libraries and frameworks (Spark, Keras, Tensorflow, OpenCV, Skimage, etc.).
Good understanding of cloud based AI/ML products from Google, Amazon, IBM & AWS and experience in large-scale distributed system (Hadoop, Spark, Hbase,..)
Experience in developing and debugging in one or more of the following programing language/framework: Python, R, C, C++, Scala, API.ai, Cortana, Alexa, CloudML, AureML, CoreML, TensorFlow, Theano, Torch, Caffe, H2O.ai, etc.
Good knowledge of Agile Methodologies
Experience in best practice adaption and external bench-marking.
Generate intellectual property",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-business-analytics-infineon-technologies-asia-pacific-3fc36be64954d01ff580a951220aa843
1,1285,Data Scientist,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,,SG,"Permanent, Full Time",Information Technology,Professional,"$5,500","to$8,000","Roles & Responsibilities
·       Use machine learning and analytical techniques to build prediction models for different use cases.
·       Design, develop and test advanced models for predictive behavior.
·       Co-operate with software engineering teams to drive real-time model implementations and new feature creations.
·       Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation
·       Research and evaluate pioneering machine learning and statistical model Requirement","Requirements
·       Atleast 3+ years of Deep Learning and machine learning experience.
·       Good understanding about supervised and unsupervised learning algorithms.
·       Generate and test working Hypothesis.
·       Mandatory coding experience in Python
·       Experience working with modern Deep Learning techniques, framework and applications.
·       Experience in DL framework (e.g Caffe, Tourch, Tensorflow).
·       Exposure to GPU technology and CUDA programming
·       2 year or above experience in Algorithms, statistical analysis, computational NLP and/or machine learning.
·       Strong teamwork and interpersonal skills.
·       Action oriented with strong analytical and problem solving skill.",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-alphatech-business-solutions-67dfc323f2a168f43d6303c47b788c98
2,1286,Data Scientist,ITPM CONSULTING PTE. LTD.,"BANK OF SINGAPORE CENTRE, 63 MARKET STREET 048942",SG,"Permanent, Full Time",Information Technology,Professional,"$7,000","to$8,500","Roles & Responsibilities
ITPM Consulting Pte Ltd is inviting Data scientist having 5+ years of strong experience in analytical and programming skills to collect, analyse and interpret large data sets. Collected date will be used to develop data-driven solutions to difficult business solutions.
Data scientist must be able to work on Big data and MDM along with PM skills to manage full cycle implementations preferably in Banking and Insurance domain. 
Must be a quick learner and efficient in different reporting technologies. 
     ","Requirements
Research and develop statistical learning models for data analysis
Keep up-to-date with latest technology trends
Communicate results and ideas to key decision makers
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Optimize joint development efforts through appropriate database use and project design
must have good understanding in TEM, Banking Project management, and data analytics tools
Must have excellent communication skills and business understanding in BFSI industry",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-itpm-consulting-214af4fa622c8c0ff101dd9843758ad3
3,1289,Data Scientist,GO-JEK SINGAPORE PTE. LTD.,"AXA TOWER, 8 SHENTON WAY 068811",SG,Permanent,Information Technology,Junior Executive,"$6,000","to$8,000","Roles & Responsibilities
GOJEK is the largest consumer technology company in Indonesia, the world's 4th largest market by population. With over 40 million downloads, the GOJEK app has become the leading transport, payments, courier, and hyperlocal shopping app in the country. GOJEK is now the largest food delivery company in the world outside the China market, and is the equivalent of three Indian Unicorns combined in the transport, food delivery and payments markets.
  GOJEK has a unique entrepreneurial environment, spanning multiple products. GOJEK Engineering India is the Bangalore-based product development and training centre of GOJEK . The GOJEK Engineering India team comprises of developers, data scientists, designers and product managers who work on product innovation, mining data and crafting consumer experiences. We take pride in our world-class product engineering team who have a deep-rooted passion for working with the engineering community in India on topics such as innovation and Open Source. If you're an independent thinker and all-rounded person, this is the place for you. We are looking for awesome talent ACROSS LEVELS to be part of talented GOJEK family.
  To know more, visit http://www.gojek.io/
  GOJEK has an in-depth technology focus right from the beginning. Through our family of apps and services, we're building a different kind of company that connects millions of people in Indonesia. We need to build systems which are intelligent and can take decisions themselves. Systems which can take complex and fuzzy information and translate them into timely and accurate decisions. And to solve this challenge, we are building a Data Science team in our Bangalore office. The ideal candidate for our team is a thinker and a doer, someone who loves sophisticated algorithms and mathematical precision, but at the same time responsible for providing the data platform, knowledge graph, data/ML models, insights and services for our customers and Anti-Fraud systems.
  What you will do:
Selecting features, building and optimizing machine learning models.
Data mining using state-of-the-art methods.
Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear manner.
Building continuous deployments and productionizing machine learning models.A/B Testing for models evaluation.","Requirements
What we are looking for:
You greatly value humility
At least 1-2 years of experience in a data science role working with large data sets.
Self-driven and entrepreneurial with a strong sense of ownership.
Excellent understanding of machine learning techniques and algorithms.
Experience with common data science toolkits, such as Scikit-Learn, R, Weka, MatLab, etc
Great communication skills.
Possess good understanding of design thinking, solid CS fundamentals
Strong applied statistics skills, such as distributions, statistical testing, regression, etc
Strong programming skills.
Experienced with Python, R , Golang, Scala, R and Shell.
Ability to whiteboard some theory while at the same time rolling up your sleeves and get coding
Ability to work independently to solve problems and develop solutions
Experience with experimenting on different modelling techniques (supervised and unsupervised learning) and develop data visualisation for data storiesKaggle/Hackathon experience a plus.
Prior experience being a founder is a huge plus.",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-go-jek-singapore-9c4401b0e4f31576481ee17faffff470
4,1290,Data Scientist,GO-JEK SINGAPORE PTE. LTD.,"AXA TOWER, 8 SHENTON WAY 068811",SG,Permanent,Information Technology,Junior Executive,"$6,000","to$8,000","Roles & Responsibilities
GOJEK is the largest consumer technology company in Indonesia, the world's 4th largest market by population. With over 40 million downloads, the GOJEK app has become the leading transport, payments, courier, and hyperlocal shopping app in the country. GOJEK is now the largest food delivery company in the world outside the China market, and is the equivalent of three Indian Unicorns combined in the transport, food delivery and payments markets.
  GOJEK has a unique entrepreneurial environment, spanning multiple products. GOJEK Engineering India is the Bangalore-based product development and training centre of GOJEK . The GOJEK Engineering India team comprises of developers, data scientists, designers and product managers who work on product innovation, mining data and crafting consumer experiences. We take pride in our world-class product engineering team who have a deep-rooted passion for working with the engineering community in India on topics such as innovation and Open Source. If you're an independent thinker and all-rounded person, this is the place for you. We are looking for awesome talent ACROSS LEVELS to be part of talented GOJEK family.
  To know more, visit http://www.gojek.io/
  GOJEK has an in-depth technology focus right from the beginning. Through our family of apps and services, we're building a different kind of company that connects millions of people in Indonesia. We need to build systems which are intelligent and can take decisions themselves. Systems which can take complex and fuzzy information and translate them into timely and accurate decisions. And to solve this challenge, we are building a Data Science team in our Bangalore office. The ideal candidate for our team is a thinker and a doer, someone who loves sophisticated algorithms and mathematical precision, but at the same time responsible for providing the data platform, knowledge graph, data/ML models, insights and services for our customers and Anti-Fraud systems.
  What you will do:
Selecting features, building and optimizing machine learning models.
Data mining using state-of-the-art methods.
Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear manner.
Building continuous deployments and productionizing machine learning models.A/B Testing for models evaluation.","Requirements
What we are looking for:
You greatly value humility
At least 1-2 years of experience in a data science role working with large data sets.
Self-driven and entrepreneurial with a strong sense of ownership.
Excellent understanding of machine learning techniques and algorithms.
Experience with common data science toolkits, such as Scikit-Learn, R, Weka, MatLab, etc
Great communication skills.
Possess good understanding of design thinking, solid CS fundamentals
Strong applied statistics skills, such as distributions, statistical testing, regression, etc
Strong programming skills.
Experienced with Python, R , Golang, Scala, R and Shell.
Ability to whiteboard some theory while at the same time rolling up your sleeves and get coding
Ability to work independently to solve problems and develop solutions
Experience with experimenting on different modelling techniques (supervised and unsupervised learning) and develop data visualisation for data storiesKaggle/Hackathon experience a plus.
Prior experience being a founder is a huge plus.",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-go-jek-singapore-db575286451b5c9aaba03014b848f816
5,1291,Data Scientist,GO-JEK SINGAPORE PTE. LTD.,"AXA TOWER, 8 SHENTON WAY 068811",SG,Permanent,Information Technology,Junior Executive,"$6,000","to$8,000","Roles & Responsibilities
GOJEK is the largest consumer technology company in Indonesia, the world's 4th largest market by population. With over 40 million downloads, the GOJEK app has become the leading transport, payments, courier, and hyperlocal shopping app in the country. GOJEK is now the largest food delivery company in the world outside the China market, and is the equivalent of three Indian Unicorns combined in the transport, food delivery and payments markets.
  GOJEK has a unique entrepreneurial environment, spanning multiple products. GOJEK Engineering India is the Bangalore-based product development and training centre of GOJEK . The GOJEK Engineering India team comprises of developers, data scientists, designers and product managers who work on product innovation, mining data and crafting consumer experiences. We take pride in our world-class product engineering team who have a deep-rooted passion for working with the engineering community in India on topics such as innovation and Open Source. If you're an independent thinker and all-rounded person, this is the place for you. We are looking for awesome talent ACROSS LEVELS to be part of talented GOJEK family.
  To know more, visit http://www.gojek.io/
  GOJEK has an in-depth technology focus right from the beginning. Through our family of apps and services, we're building a different kind of company that connects millions of people in Indonesia. We need to build systems which are intelligent and can take decisions themselves. Systems which can take complex and fuzzy information and translate them into timely and accurate decisions. And to solve this challenge, we are building a Data Science team in our Bangalore office. The ideal candidate for our team is a thinker and a doer, someone who loves sophisticated algorithms and mathematical precision, but at the same time responsible for providing the data platform, knowledge graph, data/ML models, insights and services for our customers and Anti-Fraud systems.
  What you will do:
Selecting features, building and optimizing machine learning models.
Data mining using state-of-the-art methods.
Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear manner.
Building continuous deployments and productionizing machine learning models.A/B Testing for models evaluation.","Requirements
What we are looking for:
You greatly value humility
At least 1-2 years of experience in a data science role working with large data sets.
Self-driven and entrepreneurial with a strong sense of ownership.
Excellent understanding of machine learning techniques and algorithms.
Experience with common data science toolkits, such as Scikit-Learn, R, Weka, MatLab, etc
Great communication skills.
Possess good understanding of design thinking, solid CS fundamentals
Strong applied statistics skills, such as distributions, statistical testing, regression, etc
Strong programming skills.
Experienced with Python, R , Golang, Scala, R and Shell.
Ability to whiteboard some theory while at the same time rolling up your sleeves and get coding
Ability to work independently to solve problems and develop solutions
Experience with experimenting on different modelling techniques (supervised and unsupervised learning) and develop data visualisation for data storiesKaggle/Hackathon experience a plus.
Prior experience being a founder is a huge plus.",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-go-jek-singapore-50b5209468db4fd0ee5c6b12b094fd9b
6,1292,Data Scientist,GO-JEK SINGAPORE PTE. LTD.,"AXA TOWER, 8 SHENTON WAY 068811",SG,Permanent,Information Technology,Junior Executive,"$6,000","to$8,000","Roles & Responsibilities
GOJEK is the largest consumer technology company in Indonesia, the world's 4th largest market by population. With over 40 million downloads, the GOJEK app has become the leading transport, payments, courier, and hyperlocal shopping app in the country. GOJEK is now the largest food delivery company in the world outside the China market, and is the equivalent of three Indian Unicorns combined in the transport, food delivery and payments markets.
  GOJEK has a unique entrepreneurial environment, spanning multiple products. GOJEK Engineering India is the Bangalore-based product development and training centre of GOJEK . The GOJEK Engineering India team comprises of developers, data scientists, designers and product managers who work on product innovation, mining data and crafting consumer experiences. We take pride in our world-class product engineering team who have a deep-rooted passion for working with the engineering community in India on topics such as innovation and Open Source. If you're an independent thinker and all-rounded person, this is the place for you. We are looking for awesome talent ACROSS LEVELS to be part of talented GOJEK family.
  To know more, visit http://www.gojek.io/
  GOJEK has an in-depth technology focus right from the beginning. Through our family of apps and services, we're building a different kind of company that connects millions of people in Indonesia. We need to build systems which are intelligent and can take decisions themselves. Systems which can take complex and fuzzy information and translate them into timely and accurate decisions. And to solve this challenge, we are building a Data Science team in our Bangalore office. The ideal candidate for our team is a thinker and a doer, someone who loves sophisticated algorithms and mathematical precision, but at the same time responsible for providing the data platform, knowledge graph, data/ML models, insights and services for our customers and Anti-Fraud systems.
  What you will do:
Selecting features, building and optimizing machine learning models.
Data mining using state-of-the-art methods.
Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear manner.
Building continuous deployments and productionizing machine learning models.A/B Testing for models evaluation.","Requirements
What we are looking for:
You greatly value humility
At least 1-2 years of experience in a data science role working with large data sets.
Self-driven and entrepreneurial with a strong sense of ownership.
Excellent understanding of machine learning techniques and algorithms.
Experience with common data science toolkits, such as Scikit-Learn, R, Weka, MatLab, etc
Great communication skills.
Possess good understanding of design thinking, solid CS fundamentals
Strong applied statistics skills, such as distributions, statistical testing, regression, etc
Strong programming skills.
Experienced with Python, R , Golang, Scala, R and Shell.
Ability to whiteboard some theory while at the same time rolling up your sleeves and get coding
Ability to work independently to solve problems and develop solutions
Experience with experimenting on different modelling techniques (supervised and unsupervised learning) and develop data visualisation for data storiesKaggle/Hackathon experience a plus.
Prior experience being a founder is a huge plus.",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-go-jek-singapore-dad28e61fbadcadba0bfd279fe663f04
7,1293,Data Analyst,NTT DATA SINGAPORE PTE. LTD.,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",SG,Contract,"Banking and Finance, Information Technology","Professional, Senior Executive","$5,000","to$7,000","Roles & Responsibilities
The data analyst will provide the big data analytic support to the Analytic Center of Excellence. He will partner with business and project leader to discover, analyze and process the data to develop analytic and data science solutions.
Identify, profile, analyze and present the data discovery output for analytic projects
Develop data ingestion pipeline and create the analytic data assets for analytic projects
Work with data engineer to enhance the analytic data infrastructure and develop enterprise analytic data mart
Perform data wrangling and feature engineering for machine learning
Create helper functions to automate frequently encountered wrangling and feature engineering tasks
This position allows those with strong data analytic skill and theoretical understanding of advanced analytic algorithms but lack of hands on experience in advanced analytics to learn and prepare for the role of data scientist - advanced analytics in the future.
 ","Requirements
Bachelors/Masters in Computer Science, Statistics, Mathematics and other highly quantitative fields such as bio-informatics.
At least 3 years of industry experience in data analytics working in a big data environment.
Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent knowledge of SQL.
Excellent visualization and communication skills.
Good to have financial services industry experience",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-analyst-ntt-data-singapore-353099f388298aac3915e478bad3e6c5
8,1294,Senior / Data Analyst (1 Year Contract) - S$3000,CLARIST RESOURCES PTE. LTD.,"ORCHARD TOWERS, 400 ORCHARD ROAD 238875",SG,Contract,"Information Technology, Logistics / Supply Chain, Manufacturing, Purchasing / Merchandising, Sales / Retail",Executive,"$2,500","to$3,000","Roles & Responsibilities
Our client for this role
Well-Established, home furnishing products distributor invites applicants for the position of Senior/Data Analyst (1 year contract, may be converted to perm role)!
Budget for this role: S$3000
Responsibilities
Review and map all SAP master data templates from legacy system.
Clean up existing data to ensure it matches with SAP master data integrity.
Liaise with cross functional leads to ensure completeness of data.
Compile missing information which is required for SAP master data.
Able to gather, understand data conversion logic during data migration.
Able to work with cross functional leads to resolve data discrepancies.
Support sales team in data preparation, performing sales analysis to identify trends and patterns by recommending actionable strategies to help in management decision.","Requirements
BS in Computer Science/Information Management or equivalent.
Good analytical and presentation skills to management is a must 
Meticulous in data mining for data accuracy.
Excellent communication skills with cross functional teams.
Experience in data migration in SAP is an added advantage.
Proficient in vlookup in Excel and formulas is required.
Please note that location of office is at Changi.
Interested applicant, kindly submit full-detailed resume to admin@clarist.com.sg
Please visit www.clarist.com.sg for more available positions. Thank you",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/senior-data-analyst-s3000-clarist-resources-ac7a4361a084aaeb33aa75b81bac5404
9,1295,Data Scientist,APPLE SOUTH ASIA PTE. LTD.,7 ANG MO KIO STREET 64 569086,SG,Full Time,Logistics / Supply Chain,Executive,"$5,000","to$10,000","Roles & Responsibilities
Apple's Analytic Insight team is responsible for mitigating fraud, waste and abuse across Apple. We're looking for an extraordinary data scientist who is passionate about building and maintaining analytical solutions that have direct and measurable impact to Apple. This will be a groundbreaking role that focuses both on gleaning insights from data and the implementation of analytical solutions based on those insights. 
We're seeking someone that has both a quantitative and technical background in addition to being naturally very curious.
Build and monitor effective reporting and alerting for fraud and operational health of a line of business.
Takes the initiative to develop and automate regular and ad-hoc reports
Perform ad-hoc and re-occurring statistical and data science analyses.
Work closely with data warehouse architects and software developers to generate flawless business intelligence solutions for end users. 
Support production analytic solutions.
Present results of analyses to business units.
Researches, and if applicable, implements new technologies and methods in the areas of data analysis, data visualization and presentation, and data glossaries and libraries. ","Requirements
Ability to provide relevant business insights with data.
Programming skills in Python
Experience with SQL, database modeling and data warehousing principles.
Creativity to go beyond current tools to deliver the best solution to the problem.
Data visualization experience in Matplotlib, Tableau, ggplot2 or a similar tool.
Experience with data science algorithms including decision trees, probability networks, association rules, clustering, regression, and neural networks.
Excellent presentation, communication and social skills, with solid attention to detail.
Ability to work independently and make key decisions on projects.
Strong business mindset, possessing an ability to condense complex analysis and technical concepts into clear and concise takeaways for business leaders.
Ability to comprehensively understand data elements, sources and relationships in business and technical terms.
Ability to operate appropriately and effectively in a dynamic, highly multi-functional, fast-paced environment.
M.S. in Computer Science, Mathematics, Economics, Operations Research or related field OR
B.S. in related field with 4+ years experience applying analytical techniques to real business problems.",https://www.mycareersfuture.sg/,data scientist,https://www.mycareersfuture.sg/job/data-scientist-apple-south-asia-4b1683a8d3a9d8f9744377e6c674550f
